years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.2
2021,127404.0,73410.0,53994.0,22960906.0,14435982.0,4212612.0,2241.0,780.0,0.0,4635586.0,0.5
2022,621229.0,516341.0,104888.0,22444158.0,14554890.0,4608729.0,5819.0,1765.0,780.0,22989300.0,0.2
2023,585253.0,172385.0,412868.0,22040105.0,14583212.0,4979104.0,4980.0,5621.0,2544.0,18597958.0,0.5
2024,1471735.0,1194332.0,277403.0,21428506.0,14822074.0,5347368.0,13548.0,3921.0,8165.0,61935949.0,0.65
2025,5532366.0,4880859.0,651507.0,20839923.0,15017258.0,5727665.0,42420.0,8683.0,12087.0,206451622.0,0.8
2026,25692830.0,24203596.0,1489234.0,20399820.0,15142413.0,6000694.0,171801.0,19344.0,20770.0,852421595.0,0.35
2027,21484121.0,9567412.0,11916709.0,19902536.0,15125011.0,6344278.0,157069.0,153913.0,40113.0,779294351.0,0.65
2028,53290929.0,45562504.0,7728425.0,18019521.0,16387780.0,6808171.0,410905.0,100662.0,194026.0,2048517843.0,0.5
2029,118963694.0,94748213.0,24215481.0,17536969.0,16212115.0,7057445.0,1125387.0,323587.0,294687.0,5620184729.0,0.65
2030,414058964.0,360673825.0,53385139.0,16866307.0,15503250.0,7322644.0,3352567.0,721232.0,618275.0,16756307790.0,0.5
2031,876623086.0,685029293.0,191593793.0,16310961.0,12749199.0,7491676.0,8504406.0,2640146.0,1339507.0,42516130982.0,0.2
2032,622622160.0,50176166.0,572445993.0,15681330.0,7733534.0,7513534.0,1617467.0,8215256.0,3979653.0,8080902232.0,0.35
2033,214552746.0,119913514.0,94639232.0,15090554.0,6974272.0,7574250.0,2307299.0,1449049.0,12194910.0,11530111178.0,0.8
2034,852344008.0,788851631.0,63492377.0,14442721.0,5829256.0,7620822.0,6982155.0,1052128.0,13643958.0,34904832740.0,0.35
2035,512364912.0,169784765.0,342580147.0,13729775.0,3539606.0,7602380.0,3598239.0,6255138.0,14696087.0,17984826495.0,0.8
2036,721472389.0,639497238.0,81975151.0,13084472.0,2848609.0,7556389.0,6525667.0,1640797.0,20951224.0,32622414982.0,0.65
2037,779830063.0,613910926.0,165919137.0,12548687.0,2029885.0,7535240.0,7745398.0,4182137.0,22592021.0,38720568394.0,0.2
2038,329907154.0,28778043.0,301129111.0,11601256.0,2139560.0,7536697.0,1244702.0,7482054.0,26774158.0,6217310033.0,0.5
2039,108026341.0,73270871.0,34755470.0,11089616.0,2374342.0,7537267.0,1392382.0,980203.0,34256212.0,6955705536.0,0.5
2040,110587969.0,81052037.0,29535932.0,10429502.0,2788582.0,7546789.0,1475594.0,1096501.0,35236415.0,7371929191.0,0.5
2041,132296521.0,94831808.0,37464713.0,9741548.0,3281078.0,7548828.0,1724617.0,1162030.0,36332916.0,8616420542.0,0.8
2042,437227729.0,410981473.0,26246256.0,9149056.0,3613049.0,7568397.0,4683992.0,786425.0,37494946.0,23413891092.0,0.2
2043,154365032.0,31240.0,154333792.0,8570086.0,3955905.0,7589399.0,1287.0,4524736.0,38281372.0,0.0,0.65
2044,246586.0,208716.0,37870.0,7952775.0,4566502.0,7595955.0,2746.0,825.0,42806108.0,7434340.0,0.65
2045,622266.0,546949.0,75317.0,7215806.0,5294549.0,7603258.0,7113.0,1760.0,42806933.0,29040997.0,0.35
2046,619040.0,332159.0,286881.0,6599045.0,5897775.0,7610895.0,8287.0,6373.0,42808693.0,35650117.0,0.2
2047,367931.0,27884.0,340047.0,6078577.0,6405684.0,7616231.0,1234.0,8005.0,42815065.0,0.0,0.5
2048,196255.0,155447.0,40808.0,5477462.0,6991179.0,7631637.0,2777.0,972.0,42823071.0,7544304.0,0.35
2049,266169.0,161758.0,104411.0,5006433.0,7444913.0,7647253.0,4201.0,2488.0,42824042.0,14792237.0,0.5
2050,591417.0,455529.0,135888.0,4470746.0,7956596.0,7668114.0,8423.0,3309.0,42826530.0,35972631.0,0.5
2051,1350961.0,1083845.0,267116.0,4076895.0,8312265.0,7698899.0,20202.0,6633.0,42829839.0,94720967.0,0.35
