years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2034,39834250.104449034,16902360.650544085,22931889.453904968,14442721.0,17793125.36853553,8281649.062144761,149935.13509906724,88146.4779600725,132219.71694010874,527561.3439858818,747169609.2382504,743070675.4953312,1321.0
2035,65645672.83092478,50294434.46288208,15351238.368042696,13729775.0,18101468.055940147,8536896.421755556,437086.0758858309,59974.0540396267,89961.08105943965,659781.0609259902,2188137775.123065,2179140379.4291396,1258.0
2036,138081018.91454545,93927487.72428133,44153531.1902642,13084472.0,18110881.226948727,8737167.784136038,809195.2611004111,174834.43035433107,262251.6455314978,749742.1419854296,4071610436.0672584,4038981305.5020657,1399.0
2037,219213451.17131856,138179344.42791045,81034106.74340796,12548687.0,17714309.843331367,8868545.837822456,1194159.396161944,323678.1044401656,485517.15666024486,1011993.7875169239,6090392502.085964,5964211980.80971,1317.0
2038,159949040.66775784,42112435.984049335,117836604.68370846,11601256.0,17318334.205875065,9036731.358213184,386869.3241244558,477663.75846477854,716495.6376971635,1497510.9441771724,1984458337.928634,1928391620.6222928,1191.0
2039,114338600.13623351,77154760.91354178,37183839.222691685,11089616.0,17282410.450610023,9200118.877358744,704528.4964367036,154747.72964978238,232121.59447467345,2214006.5818743287,3594861346.6578393,3516727482.183516,1183.0
2040,162690585.7271049,95816257.91606991,66874327.811035044,10429502.0,17135180.311696194,9313203.027415344,882146.9766142878,281811.3985746806,422717.0978620213,2446128.1763490005,4526487196.556273,4404494883.071421,1248.0
2041,333208414.5737278,250842609.4200149,82365805.15371305,9741548.0,16842741.623743657,9430691.874492344,2276727.515564578,352858.79064571677,529288.185968574,2868845.2742110454,11751676976.091314,11376732577.822975,1381.0
2042,798196204.9716872,590090406.2966967,208105798.67499104,9149056.0,15215018.262206512,9537887.65909815,5345186.976263158,910691.0062258333,1366036.5093387587,3398133.4601796055,28915168058.25712,26719984881.31573,1190.0
2043,473801737.0420139,2610030.115122593,471191706.926891,8570086.0,11658316.149257712,9600001.221681818,30149.624248448457,2138074.790505248,3207112.185757877,4764169.969518337,188099648.83473182,144473121.24224177,1255.0
2044,8603399.861889772,6218627.903778073,2384771.9581116936,7952775.0,12188296.094969075,9657992.199101156,72219.8557692846,12059.849699379396,18089.77454906899,7971282.155276278,374506923.9457228,354939278.84642583,1232.0
2045,8221123.108929902,2764905.4820755525,5456217.6268543545,7215806.0,12805197.12811155,9706966.723259976,33759.3154509549,28887.94230771404,43331.91346157084,7989371.929825307,165026169.6511231,162566577.25477314,1246.0
2046,5196983.080866296,2727337.7446473925,2469645.336218903,6599045.0,13325014.796782449,9770874.6983747,33863.6780787644,13503.726180381926,20255.589270572764,8032703.843286913,167437476.19235304,163313390.3938225,1201.0
2047,8250022.232581702,5821912.019278199,2428110.213303502,6078577.0,13735055.459259035,9848168.769710831,71243.89035065661,13545.471231505777,20318.206847258753,8052959.432557423,355699582.5920164,349659451.75328237,1312.0
2048,8027090.4919904815,2969430.0371972956,5057660.454793189,5477462.0,14202451.631791158,9911512.466165783,37788.68103123917,28497.55614026265,42746.33421039397,8073277.639404753,185185922.42452216,182403405.15619588,1308.0
2049,2715924.666355381,91023.35360024516,2624901.312755136,5006433.0,14582713.472327536,9965212.549066069,1368.0,15115.472412495568,22673.208618743374,8116023.973615149,0.0,0.0,1368.0
2050,224241.5427685819,144098.73970738883,80142.8030611932,4470746.0,15029471.201422555,10053515.731478514,2074.7049563759497,547.1999999999981,820.7999999999993,8138697.182233827,5788777.485839997,4638524.781879776,1147.0
2051,208445.19252542194,75084.87246716008,133360.32005826174,4076895.0,15324237.370080473,10151146.007640062,1133.0,829.8819825503772,1244.8229738255677,8139517.982233836,0.0,0.0,1133.0
2052,144884.64551083618,77672.05733849935,67212.5881723369,3629922.0,15620928.122529633,10300994.774946628,1236.366353372461,453.19999999999834,679.8000000000014,8140762.805207711,99251.22900029233,71831.76686230484,1222.0
2053,190863.17433223358,122705.16193070455,68158.01240152908,3331938.0,15830911.977729766,10388426.739945116,1794.1739028380848,494.54654134898624,741.8198120234763,8141442.605207681,3845979.557274541,2930869.514190446,1208.0
2054,314577.9825109435,199175.40999884918,115402.57251209434,2889306.0,16194772.21987617,10466067.35741992,2985.247808385127,717.6695611352343,1076.504341702852,8142184.425019725,10831573.987016425,8401239.041925663,1305.0
2055,282858.1560534235,96336.85860865295,186521.2974447704,2448891.0,16527565.493871726,10571406.835615871,1507.184743801126,1194.0991233540483,1791.1486850310837,8143260.929361403,1607507.742702221,1395923.7190056078,1228.0
2056,237838.7228010862,148501.0879254655,89337.6348756206,2164771.0,16668780.681091754,10713474.78237367,2232.849597995171,602.8738975204473,904.3108462806749,8145052.078046399,6397855.335236793,5239247.989975899,1185.0
